article_id,subject_bias_mean,subject_bias_std,framing_bias_mean,framing_bias_std,treatment_bias_mean,treatment_bias_std,guests_bias_mean,guests_bias_std,overall_bias_mean,overall_bias_std,n_scores,n_models
2026_02_jesse_jackson_progressive_rights_obituary,-0.41500000000000004,0.4301485531508595,-0.40499999999999997,0.4844527267385791,-0.34500000000000003,0.4878809053219626,-0.2222222222222222,0.44095855184409843,-0.36458333333333326,0.3868759909937646,10,8
2026_02_mothers_nordic_welfare_state_social_reproduction,-0.27,0.3831158803518562,-0.43499999999999994,0.5077455618275315,-0.36,0.5337498373666159,-0.2,0.4000000000000001,-0.3275,0.3914804521868805,10,8
2026_02_prairieland_trump_domestic_terrorism_ice,-0.19374999999999998,0.2859039549019416,-0.6125,0.3346106479391917,-0.503125,0.3174782051012096,-0.2,0.3664501525251618,-0.37734375,0.263050814533591,10,8
2026_02_sheinbaum_trump_oil_cuba_blockade,-0.44000000000000006,0.43512450325548585,-0.7350000000000001,0.29443920330765133,-0.31500000000000006,0.4921889880929885,-0.18,0.3675746333890726,-0.4175,0.2959917416265378,10,8
2026_02_uaw_vw_mercedes_higher_ed,-0.2222222222222222,0.29907264074877266,-0.14444444444444446,0.6784377479015874,-0.12222222222222223,0.4918784854457902,0.03333333333333333,0.09999999999999999,-0.1138888888888889,0.3054482134685209,10,8
2026_02_universal_childcare_mamdani_hochul_de_blasio,-0.14375,0.3064048442362303,-0.08124999999999999,0.5592964330299274,-0.1875,0.42907708265199024,0.0125,0.08345229603962802,-0.09999999999999999,0.2659215781283755,10,8
28980688,-0.10416666666666667,0.14841332538392618,-0.041666666666666664,0.46653136566742776,0.08333333333333333,0.35440945332490864,0.3333333333333333,0.3576014371878109,0.06770833333333331,0.2531875390382442,24,6
29115321,-0.7818181818181817,0.31565228279922775,-0.6454545454545454,0.6728501116350302,-0.7636363636363637,0.31071764440638794,-0.38181818181818183,0.5381787469199835,-0.6431818181818181,0.3558600337722173,24,6
29123091,-0.0625,0.1707825127659933,-0.11375,0.3496069221282668,-0.05625,0.25289984842489194,0.0,0.0,-0.058124999999999996,0.13579242737845632,24,6
29134266,-0.37692307692307686,0.5293924916887377,-0.5307692307692308,0.7619980483183836,-0.48461538461538467,0.6974311839961391,-0.3076923076923077,0.48038446141526137,-0.42500000000000004,0.5433307770901014,24,6
29134900,-0.26666666666666666,0.8430104783848578,-0.4000000000000001,0.92951600308978,-0.3666666666666667,0.9811557810392122,-0.10000000000000002,0.45166359162544867,-0.2833333333333334,0.7400450436741446,24,6
29134931,-0.10833333333333334,0.21087839379532688,-0.23750000000000002,0.4801159897736833,-0.1409090909090909,0.25575201056705477,-0.02727272727272727,0.09045340337332908,-0.12500000000000003,0.18517497867496224,24,6
29138340,-0.23499999999999996,0.3605936463358413,-0.6,0.3674234614174768,-0.4375,0.4188691787287397,0.025,0.12304019216861166,-0.311875,0.24084720980784108,24,6
29139994,-0.07142857142857142,0.15281246137553167,-0.03928571428571429,0.10034281896917843,-0.017857142857142856,0.046439136583203255,0.0,0.0,-0.03214285714285715,0.056482273792290386,24,6
29142365,-0.23500000000000001,0.25807995497111885,-0.485,0.49233599994526633,-0.3975,0.44617526648286177,-0.1,0.30779350562554625,-0.30437499999999995,0.29656129547478743,24,6
29142442,-0.02210526315789474,0.05328945563496915,-0.10105263157894737,0.337423155644233,-0.023684210526315787,0.15492688333948548,0.051578947368421064,0.07544410424610445,-0.02381578947368421,0.11091591040642704,24,6
29143391,-0.5107142857142857,0.48760741279331365,-0.36428571428571427,0.6720887565666432,-0.35000000000000003,0.5091470997960895,-0.31428571428571433,0.6712298045747452,-0.38482142857142854,0.4688923776445793,24,6
29144178,-0.1954545454545455,0.3594819504888565,-0.24545454545454548,0.4756335487823296,-0.2136363636363636,0.2470737836061417,-0.009090909090909092,0.08312094145936336,-0.16590909090909092,0.23272105815566174,24,6
29144921,-0.10714285714285716,0.21297216451250822,-0.09285714285714285,0.5630486742048235,-0.10714285714285714,0.472959275403788,0.0,0.0,-0.0767857142857143,0.24858228971892743,24,6
29147062,-0.16666666666666666,0.406201920231798,-0.23333333333333328,0.6184658438426491,-0.25,0.5556527692723217,-0.12222222222222223,0.4024232155883212,-0.19305555555555556,0.3957346368183834,24,6
29147162,-0.16999999999999998,0.3301514803843836,-0.31,0.3900142447541001,-0.23999999999999994,0.3893013685508382,-0.23000000000000004,0.32335051500740736,-0.2375,0.20488818088573746,24,6
29147304,-0.125,0.4219004621945797,-0.15312499999999998,0.6302033402006054,0.09374999999999999,0.6223276200416198,0.049999999999999996,0.3687817782917155,-0.033593750000000006,0.3251512068125638,24,6
29147331,-0.14133333333333334,0.18415314537737595,-0.23,0.31041446947129064,-0.30866666666666664,0.3642774975730662,-0.03333333333333333,0.08997354108424373,-0.17833333333333332,0.18178594817086646,24,6
29147656,-0.12,0.18238190122579825,-0.305,0.4110000640286799,-0.279,0.42720511528575567,-0.03,0.11285761872936696,-0.18349999999999997,0.2294105719584775,24,6
29147820,-0.15,0.15811388300841897,-0.17222222222222222,0.3540614030421602,-0.11578947368421051,0.3253428241353638,0.0,0.0,-0.125,0.1954784017623317,24,6
29147828,-0.4035714285714285,0.6806287493968313,-0.6571428571428571,0.671066070018199,-0.4928571428571428,0.6810221793680502,-0.10714285714285714,0.28946711176091977,-0.41517857142857145,0.5078276360804255,24,6
29148256,-0.290625,0.448783076775406,-0.3625,0.6621933252457322,-0.1578125,0.6122171966167999,0.03125,0.275,-0.19492187500000002,0.4155519594341764,24,6
29148270,-0.35000000000000003,0.4381780460041329,-0.328125,0.43892624665198593,-0.309375,0.41320646574483,0.037500000000000006,0.06191391873668904,-0.23750000000000002,0.2955221367906867,24,6
29148433,-0.23888888888888887,0.42167577297769887,-0.13333333333333333,0.3497898528780825,-0.0411764705882353,0.25014701559635827,-0.027777777777777776,0.11785113019775792,-0.10972222222222223,0.20830882208748894,24,6
29150791,-0.15333333333333335,0.188477610139267,-0.18333333333333332,0.3314829594126256,-0.08666666666666667,0.2191433538207571,-0.013333333333333334,0.051639777949432225,-0.10916666666666668,0.14271495900503747,24,6
29150974,-0.30833333333333335,0.43122602235132007,-0.19999999999999998,0.6471657665635326,-0.16388888888888886,0.5257503197267791,0.005555555555555556,0.023570226039551587,-0.16666666666666666,0.3647874078709084,24,6
29151828,-0.36666666666666675,0.6542898731412844,-0.1733333333333333,0.7805370556470046,-0.15999999999999998,0.7669978580711385,-0.10666666666666666,0.6870918702002216,-0.2016666666666667,0.6241756468296709,24,6
29152239,-0.55,0.6279217421667403,-0.9,0.1851640199545103,-0.925,0.13887301496588275,-0.025,0.07071067811865477,-0.6,0.21876275473019363,24,6
29152429,-0.4375,0.3145764348029479,-0.78,0.1589549202342182,-0.5625,0.3806463800782383,0.14250000000000002,0.6065407378459147,-0.40937500000000004,0.206037769595771,24,6
29153734,-0.175,0.34419794046772306,-0.36500000000000005,0.4472446509213696,-0.44499999999999995,0.3386656824132679,0.01,0.03162277660168379,-0.24375,0.20406034646643134,24,6
29153846,-0.2833333333333334,0.27868739954771304,-0.7250000000000001,0.29283100928692646,-0.5416666666666666,0.41523085948260957,-0.016666666666666666,0.040824829046386304,-0.39166666666666666,0.1469835591713123,24,6
29154335,-0.049999999999999996,0.14005493427717788,-0.1357142857142857,0.3671242565947118,0.0,0.0,-0.0035714285714285718,0.013363062095621223,-0.04732142857142857,0.09227084028572063,24,6
